,REGION,CROP,TOTAL RAINFALL(MM),AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
777,2,1,1211,13670.0,15.0,205050.0
778,2,1,1211,11350.0,15.0,170250.0
779,2,1,1211,15600.0,14.0,218400.0
780,2,1,1211,11060.0,14.0,154840.0
781,2,1,1211,11420.0,14.0,159880.0
782,2,2,1211,1300.0,16.5,21450.0
783,2,2,1211,850.0,19.0,16150.0
784,2,2,1211,350.0,16.5,5775.0
785,2,2,1211,350.0,15.0,5250.0
786,2,2,1211,250.0,16.0,4000.0
787,2,2,1211,300.0,15.5,4650.0
788,2,2,1211,1850.0,17.0,31450.0
789,2,2,1211,500.0,16.5,8250.0
790,2,2,1211,500.0,15.5,7750.0
791,2,2,1211,300.0,15.5,4650.0
792,2,2,1211,1200.0,15.5,18600.0
793,2,2,1211,1300.0,15.5,20150.0
794,2,2,1211,1150.0,15.5,17825.0
795,2,2,1211,1500.0,16.0,24000.0
796,2,2,1211,26800.0,20.0,536000.0
797,2,2,1211,800.0,17.0,13600.0
798,2,2,1211,1250.0,18.0,22500.0
799,4,0,1212,1700.0,1.38,2346.0
800,4,0,1212,1600.0,1.21,1936.0
801,4,0,1212,2600.0,1.5,3900.0
802,4,0,1212,680.0,1.1,748.0
803,4,0,1212,11000.0,1.5,16500.0
804,4,0,1212,2700.0,1.5,4050.0
805,4,0,1212,2010.0,1.38,2773.8
806,4,0,1212,7230.0,2.18,15761.4
807,4,0,1212,3300.0,2.2,7260.0
808,4,0,1212,3100.0,2.1,6510.0
809,4,0,1212,8250.0,2.3,18975.0
810,4,0,1212,2240.0,2.3,5152.0
811,4,0,1212,1600.0,2.4,3840.0
812,4,0,1212,2780.0,1.4,3892.0
813,4,0,1212,1900.0,1.8,3420.0
814,4,3,1212,2000.0,3.0,6000.0
815,4,3,1212,120.0,1.65,198.0
816,4,3,1212,1900.0,5.5,10450.0
817,4,3,1212,460.0,2.23,1025.8
818,4,3,1212,310.0,1.1,341.0
819,4,3,1212,6520.0,3.0,19560.0
820,4,3,1212,2070.0,3.0,6210.0
821,4,3,1212,2000.0,2.3,4600.0
822,4,3,1212,2200.0,2.8,6160.0
823,4,3,1212,1120.0,1.68,1881.6
824,4,3,1212,1110.0,2.64,2930.4
825,4,3,1212,390.0,2.2,858.0
826,4,3,1212,260.0,1.83,475.8
827,4,1,1212,2550.0,11.04,28152.0
828,4,1,1212,2600.0,11.0,28600.0
829,4,1,1212,2760.0,12.5,34486.2
830,4,1,1212,1270.0,8.6,10922.0
831,4,1,1212,12900.0,14.17,182793.0
832,4,1,1212,4700.0,11.0,51700.0
833,4,1,1212,1400.0,11.55,16170.0
834,4,1,1212,8650.0,8.6,74390.0
835,4,1,1212,6500.0,16.5,107250.0
836,4,1,1212,4500.0,14.4,64800.0
837,4,1,1212,31000.0,18.19,563890.0
838,4,1,1212,11300.0,15.96,180348.0
839,4,1,1212,9500.0,15.75,149625.0
840,4,1,1212,3750.0,13.2,49500.0
841,4,1,1212,1350.0,11.78,15904.35
842,4,2,1212,40.0,9.1,364.0
843,4,2,1212,1450.0,8.3,12035.0
844,4,2,1212,1210.0,11.1,13431.0
845,4,2,1212,1050.0,10.3,10815.0
846,4,2,1212,8610.0,17.52,150847.2
847,4,2,1212,5800.0,13.09,75922.0
848,4,2,1212,6150.0,14.3,87945.0
849,4,2,1212,800.0,10.8,8640.0
850,4,2,1212,100.0,8.93,892.5
851,0,0,1380,4760.0,1.29,6162.78
852,0,0,1380,4560.0,1.24,5633.11
853,0,0,1380,2850.0,1.21,3436.85
854,0,0,1380,18020.0,1.25,22524.07
855,0,0,1380,16000.0,1.22,19543.15
856,0,0,1380,10480.0,1.32,13831.97
857,0,0,1380,8400.0,1.48,12447.62
858,0,0,1380,12770.0,1.42,18079.42
859,0,0,1380,11450.0,1.27,14517.18
860,0,0,1380,3670.0,1.21,4441.46
861,0,0,1380,5240.0,1.36,7103.86
862,0,0,1380,3550.0,1.22,4329.33
